Jurisdictions,EffectiveDate,ValidThroughDate,pmp2012,access_Prescribers,access_Dispensers,access_RegulatoryBoards,access_MedicalExaminer/Coroner,access_DrugCourts,access_None,prescriber-access_Currentpatients,prescriber-access_Prospectivepatients,prescriber-access_Formerpatients,prescriber-access_None,dispenser-access_Currentpatients,dispenser-access_Prospectivepatients,dispenser-access_Formerpatients,dispenser-access_None,delegate,patient-access,instate-yn,instate-le_TherearenorestrictionsonlawenforcementaccesstoPDMPdata,instate-le_Lawenforcementhasaccessforactiveinvestigations,instate-le_Lawenforcementmustbegrantedaccessbysubpoena,instate-le_Lawenforcementmustbegrantedaccessbyissuanceofwarrant/judicialfindingofprobablecause,pdmp-outstate,outstate-le_NorestrictionsonlawenforcementaccesstoPDMPdata,outstate-le_Lawenforcementhasaccessforactiveinvestigations,outstate-le_Lawenforcementmustbegrantedaccessbysubpoena,outstate-le_Lawenforcementmustbegrantedaccessbyissuanceofwarrant/judicialfindingofprobablecause,table_type,Jurisdictions:1,EffectiveDate:1,ValidThroughDate:1,pmp2012:1,agency_Lawenforcement,agency_DepartmentofHealth/HHS,agency_Consumerprotectionagency,agency_Professionallicensingauthority(e.g.PharmacyorMedicalBoard),agency_AttorneyGeneral,agency_Other,pmp-funding_Appropriationprovisions,pmp-funding_Chargingfees,pmp-funding_Grants,pmp-funding_Gifts,pmp-funding_Nofundingprovisionsincludedinthelaw,oversight,evaluation,purge-time,proactive-permit,proactive-actionrequire_Mustreporttolawenforcement,proactive-actionrequire_Mustreporttoprofessionallicensingbody,proactive-actionrequire_Mustreporttoprescriberordispenser,proactive-actionrequire_Permittedtoreporttolawenforcement,proactive-actionrequire_Permittedtoreporttoprofessionallicensingbody,proactive-actionrequire_Permittedtoreporttoprescriberordispenser,proactive-actionrequire_Other,foia,research,pdmp-research,table_type:1,Jurisdictions:2,EffectiveDate:2,ValidThroughDate:2,pmp2012:2,agency_Lawenforcement:1,agency_DepartmentofHealth/HHS:1,agency_Consumerprotectionagency:1,agency_Professionallicensingauthority(e.g.PharmacyorMedicalBoard):1,agency_AttorneyGeneral:1,agency_Other:1,pmp-funding_Appropriationprovisions:1,pmp-funding_Chargingfees:1,pmp-funding_Grants:1,pmp-funding_Gifts:1,pmp-funding_Nofundingprovisionsincludedinthelaw:1,oversight:1,evaluation:1,purge-time:1,proactive-permit:1,proactive-actionrequire_Mustreporttolawenforcement:1,proactive-actionrequire_Mustreporttoprofessionallicensingbody:1,proactive-actionrequire_Mustreporttoprescriberordispenser:1,proactive-actionrequire_Permittedtoreporttolawenforcement:1,proactive-actionrequire_Permittedtoreporttoprofessionallicensingbody:1,proactive-actionrequire_Permittedtoreporttoprescriberordispenser:1,proactive-actionrequire_Other:1,foia:1,research:1,pdmp-research:1,table_type:2
"Alabama","2004-08-01","2005-03-24","1","1","1","1","0","0","0","1","1","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","1","access","Alabama","2004-08-01","2005-03-24","1","0","1","0","0","0","0","1","1","1","1","0","1","0","4","0",".",".",".",".",".",".",".","1","0",".","admin","Alabama","2004-08-01","2005-03-24","1","0","1","0","0","0","0","1","1","1","1","0","1","0","4","0",".",".",".",".",".",".",".","1","0",".","admin"
"Alabama","2005-11-24","2006-03-23","1","1","1","1","0","0","0","1","1","0","0","1","1","0","0","0","0","1","0","1","0","1","1","0","1","0","1","access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alabama","2014-11-24","2016-07-01","1","1","1","1","0","0","0","1","1","0","0","1","1","0","0","1","0","1","0","1","0","1","1","0","1","0","1","access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alaska","2008-09-07","2014-12-30","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","0","0","1","1","access","Alaska","2008-09-07","2011-12-28","1","0","0","0","1","0","0","0","0","0","0","1","0","0","2","0",".",".",".",".",".",".",".","1","0",".","admin","Alaska","2008-09-07","2011-12-28","1","0","0","0","1","0","0","0","0","0","0","1","0","0","2","0",".",".",".",".",".",".",".","1","0",".","admin"
"Arizona","2007-09-19","2008-10-03","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","1","0","1","0","0","access","Arizona","2007-09-19","2008-10-03","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","1","1","admin","Arizona","2007-09-19","2008-10-03","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","1","1","admin"
"Arizona","2014-07-24","2014-08-01","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","1","0","0","1","0","1","0","0","access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arizona","2016-01-01","2016-07-01","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","1","1","1","0","1","0","0","1","0","1","0","0","access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arkansas","2011-07-27","2013-02-28","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","access","Arkansas","2011-07-27","2013-02-28","1","0","1","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","0","0","0","1","1","0","admin","Arkansas","2011-07-27","2013-02-28","1","0","1","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","0","0","0","1","1","0","admin"
"Arkansas","2015-07-22","2016-02-29","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","0","0","0","1","access","Arkansas","2015-07-22","2016-02-29","1","0","1","0","0","0","0","0","0","1","0","0","1","1","1","1","1","0","1","0","1","0","0","1","1","1","admin","Arkansas","2015-07-22","2016-02-29","1","0","1","0","0","0","0","0","0","1","0","0","1","1","1","1","1","0","1","0","1","0","0","1","1","1","admin"
"California","1998-01-01","1999-12-31","1","0","0","0","0","0","1",".",".",".",".",".",".",".",".","0","0","1","1","0","0","0","1","1","0","0","0","access","California","1998-01-01","1999-12-31","1","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0",".",".",".",".",".",".",".","0","1","1","admin","California","1998-01-01","1999-12-31","1","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0",".",".",".",".",".",".",".","0","1","1","admin"
